# Freiraum-Messung des XBandAbsorbers mit 15 und 150 Ohm Widerstaenden
# f [GHz], Re(S11), Im(S11), Re(S21), Im(S21)
5.16062, -0.32089, 0.40534, 0.00153, -0.0013
5.16875, -0.32163, 0.40089, 0.00144, -0.00112
5.17687, -0.32176, 0.39751, 0.00141, -0.00112
5.185, -0.31974, 0.39532, 0.00115, -8.95057E-4
5.19313, -0.31792, 0.39349, 0.00143, -9.24691E-4
5.20125, -0.31567, 0.39094, 0.00174, -0.00135
5.20937, -0.31389, 0.38688, 0.00167, -0.00185
5.2175, -0.31415, 0.383, 0.00148, -0.00263
5.22563, -0.31527, 0.38064, 3.97586E-4, -0.00279
5.23375, -0.31573, 0.37818, -6.78307E-4, -0.00252
5.24188, -0.31466, 0.37592, -0.00102, -0.00133
5.25, -0.31336, 0.37452, -0.00125, -5.42821E-4
5.25812, -0.31205, 0.37282, -3.47531E-4, 3.97033E-4
5.26625, -0.31095, 0.37066, 6.35263E-4, 0.0011
5.27438, -0.31036, 0.36724, 0.00166, 2.73614E-4
5.2825, -0.30922, 0.36501, 0.00205, -0.00136
5.29063, -0.30922, 0.36095, 0.00157, -0.00224
5.29875, -0.30687, 0.35757, 3.11545E-4, -0.0028
5.30687, -0.30554, 0.35266, -9.50139E-4, -0.00291
5.315, -0.30748, 0.34995, -0.00168, -0.00184
5.32313, -0.30997, 0.34681, -0.00224, -7.28705E-4
5.33125, -0.31088, 0.34638, -0.00188, 6.17667E-4
5.33938, -0.31208, 0.34585, -9.61074E-4, 8.80552E-4
5.3475, -0.31006, 0.34528, -7.25253E-4, 0.0011
5.35562, -0.30772, 0.34374, 2.59061E-4, 0.00131
5.36375, -0.30594, 0.34028, 9.1145E-4, 0.00153
5.37188, -0.30509, 0.33743, 0.00162, 7.14468E-4
5.38, -0.30461, 0.3346, 0.00118, 2.37367E-4
5.38812, -0.3053, 0.33309, 0.0012, 7.5653E-4
5.39625, -0.30641, 0.33009, 0.00142, 6.4978E-4
5.40437, -0.30426, 0.32705, 0.00251, 3.70175E-4
5.4125, -0.30217, 0.3223, 0.00288, -0.00107
5.42063, -0.30186, 0.31962, 0.00195, -0.00235
5.42875, -0.30401, 0.31645, 4.64534E-4, -0.00225
5.43687, -0.30526, 0.31454, -5.00379E-4, -0.00143
5.445, -0.30636, 0.31298, -8.39142E-5, -4.82163E-4
5.45313, -0.30612, 0.31238, 2.3817E-4, 7.13562E-5
5.46125, -0.30451, 0.31083, 8.71671E-4, -1.74261E-5
5.46938, -0.30246, 0.30796, 0.00101, 1.03235E-4
5.4775, -0.30454, 0.3052, 0.00109, 4.03163E-4
5.48562, -0.30514, 0.30185, 0.00199, 5.86434E-4
5.49375, -0.30616, 0.30071, 0.00288, -4.51724E-4
5.50188, -0.30441, 0.29959, 0.00276, -0.00215
5.51, -0.30216, 0.29494, 0.00109, -0.00314
5.51812, -0.30228, 0.28819, -2.78843E-4, -0.00272
5.52625, -0.30517, 0.2836, -9.41091E-4, -0.00107
5.53437, -0.31063, 0.28253, 1.87819E-7, -2.77187E-4
5.5425, -0.31355, 0.28605, 9.63492E-4, -5.8364E-4
5.55063, -0.31269, 0.28709, 0.00106, -0.00146
5.55875, -0.30955, 0.2871, 3.83767E-4, -9.90805E-4
5.56687, -0.30748, 0.28407, 3.55856E-4, -9.25672E-4
5.575, -0.307, 0.27924, 5.14517E-4, -9.41347E-4
5.58312, -0.30832, 0.27719, 8.34817E-4, -0.00117
5.59125, -0.31006, 0.27545, 1.14761E-4, -0.00133
5.59938, -0.31042, 0.27632, -2.81325E-4, -0.00119
5.6075, -0.30888, 0.27678, -7.66433E-5, -8.86357E-4
5.61562, -0.30688, 0.27541, 2.03686E-4, -4.8067E-4
5.62375, -0.30533, 0.2707, 5.33815E-4, -0.00122
5.63188, -0.30635, 0.26566, 5.52093E-6, -0.00131
